Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2011 PPP $) [SL.GDP.PCAP.EM.KD],"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2016,YR2016,Isle of Man,IMN,..,83737,..
2016,YR2016,Israel,ISR,77191.015625,8546000,82.4073170731707
2016,YR2016,Italy,ITA,94729.484375,60627498,82.5439024390244
2016,YR2016,Jamaica,JAM,18274.86328125,2881355,75.97
2016,YR2016,Japan,JPN,74554.953125,126994511,83.9848780487805
2016,YR2016,Jordan,JOR,39372.11328125,9455802,74.329
2016,YR2016,Kazakhstan,KAZ,47299.26953125,17794055,72.3
2016,YR2016,Kenya,KEN,8540.150390625,48461567,67.032
2016,YR2016,Kiribati,KIR,..,114395,66.317
2016,YR2016,"Korea, Dem. People’s Rep.",PRK,1980.31005859375,25368620,71.685
2016,YR2016,"Korea, Rep.",KOR,67771.4921875,51245707,82.0243902439024
2016,YR2016,Kosovo,XKX,..,1816200,71.6463414634146
2016,YR2016,Kuwait,KWT,129646.5625,4052584,74.694
2016,YR2016,Kyrgyz Republic,KGZ,8586.4716796875,6079500,70.9512195121951
2016,YR2016,Lao PDR,LAO,11068.341796875,6758353,66.683
2016,YR2016,Latvia,LVA,50718.33984375,1959537,74.5292682926829
2016,YR2016,Lebanon,LBN,38541.890625,6006668,79.584
2016,YR2016,Lesotho,LSO,8693.1396484375,2203821,54.174
2016,YR2016,Liberia,LBR,2387.52905273438,4613823,62.505
2016,YR2016,Libya,LBY,..,6293253,71.934
2016,YR2016,Liechtenstein,LIE,..,37666,82.6560975609756
2016,YR2016,Lithuania,LTU,57926.046875,2868231,74.3219512195122
2016,YR2016,Luxembourg,LUX,216374.546875,582014,82.2926829268293
2016,YR2016,"Macao SAR, China",MAC,159465.09375,612167,83.849
2016,YR2016,"Macedonia, FYR",MKD,37414.3515625,2081206,75.703
2016,YR2016,Madagascar,MDG,2804.91088867188,24894551,65.932
2016,YR2016,Malawi,MWI,2689.28295898438,18091575,63.223
2016,YR2016,Malaysia,MYS,54809.390625,31187265,75.3
2016,YR2016,Maldives,MDV,25105.7421875,427756,77.339
2016,YR2016,Mali,MLI,5853.6630859375,17994837,57.966
2016,YR2016,Malta,MLT,81560.78125,455356,81.7975609756098
2016,YR2016,Marshall Islands,MHL,..,53066,..
2016,YR2016,Mauritania,MRT,13388.375,4301018,63.238
2016,YR2016,Mauritius,MUS,44150.1328125,1263473,74.3948780487805
2016,YR2016,Mexico,MEX,39186.859375,127540423,77.118
2016,YR2016,"Micronesia, Fed. Sts.",FSM,..,104937,69.195
2016,YR2016,Moldova,MDA,12517.03515625,3551954,71.61
2016,YR2016,Monaco,MCO,..,38499,..
2016,YR2016,Mongolia,MNG,29139.990234375,3027398,69.287
2016,YR2016,Montenegro,MNE,47374.9609375,622303,77.116
2016,YR2016,Morocco,MAR,22876.56640625,35276786,75.821
2016,YR2016,Mozambique,MOZ,3475.708984375,28829476,58.311
2016,YR2016,Myanmar,MMR,11369.306640625,52885223,66.612
2016,YR2016,Namibia,NAM,33114.33984375,2479713,64.388
2016,YR2016,Nauru,NRU,..,13049,..
2016,YR2016,Nepal,NPL,4105.84423828125,28982771,70.253
2016,YR2016,Netherlands,NLD,94525.8671875,17030314,81.509756097561
2016,YR2016,New Caledonia,NCL,86305.6875,276550,76.9615007371216
2016,YR2016,New Zealand,NZL,67342.0859375,4693200,81.6124390243903
2016,YR2016,Nicaragua,NIC,11469.546875,6149928,75.404
2016,YR2016,Niger,NER,2317.14599609375,20672987,60.058
2016,YR2016,Nigeria,NGA,18977.880859375,185989640,53.428
2016,YR2016,Northern Mariana Islands,MNP,..,55023,..
2016,YR2016,Norway,NOR,126032.5390625,5234519,82.509756097561
2016,YR2016,Oman,OMN,76202.1484375,4424762,77.029
2016,YR2016,Pakistan,PAK,14251.3212890625,193203476,66.481
2016,YR2016,Palau,PLW,..,21503,..
2016,YR2016,Panama,PAN,46068.16796875,4034119,78.001
2016,YR2016,Papua New Guinea,PNG,6327.7890625,8084991,65.544
2016,YR2016,Paraguay,PRY,18961.669921875,6725308,73.12
2016,YR2016,Peru,PER,22676.91796875,31773839,74.983
2016,YR2016,Philippines,PHL,17564.04296875,103320222,69.094
2016,YR2016,Poland,POL,56788.07421875,37970087,77.4512195121951
2016,YR2016,Portugal,PRT,59944.55078125,10325452,81.1268292682927
2016,YR2016,Puerto Rico,PRI,104899.875,3406520,79.7883170731707
2016,YR2016,Qatar,QAT,157744.140625,2569804,78.184
2016,YR2016,Romania,ROU,50516.38671875,19702332,75.0121951219512
2016,YR2016,Russian Federation,RUS,49084.66015625,144342396,71.5929268292683
2016,YR2016,Rwanda,RWA,3496.42993164063,11917508,67.129
2016,YR2016,Samoa,WSM,32296.158203125,195125,75.013
2016,YR2016,San Marino,SMR,..,33203,..
2016,YR2016,Sao Tome and Principe,STP,10458.921875,199910,66.624
2016,YR2016,Saudi Arabia,SAU,128511.8515625,32275687,74.561
2016,YR2016,Senegal,SEN,7700.7841796875,15411614,67.146
2016,YR2016,Serbia,SRB,28825.197265625,7058322,75.2390243902439
2016,YR2016,Seychelles,SYC,..,94677,74.309756097561
2016,YR2016,Sierra Leone,SLE,4285.64404296875,7396190,51.835
2016,YR2016,Singapore,SGP,145489.484375,5607283,82.7951219512195
2016,YR2016,Sint Maarten (Dutch part),SXM,..,39969,..
2016,YR2016,Slovak Republic,SVK,63275.40234375,5430798,76.5634146341463
2016,YR2016,Slovenia,SVN,66681.4375,2065042,80.7756097560976
2016,YR2016,Solomon Islands,SLB,4866.162109375,599419,70.726
2016,YR2016,Somalia,SOM,3175.34301757813,14317996,56.293
2016,YR2016,South Africa,ZAF,43002.00390625,56015473,62.774
2016,YR2016,South Sudan,SSD,4086.39990234375,12230730,56.811
2016,YR2016,Spain,ESP,83754.3359375,46484062,82.8317073170732
2016,YR2016,Sri Lanka,LKA,29902.599609375,21203000,75.284
2016,YR2016,St. Kitts and Nevis,KNA,..,54821,..
2016,YR2016,St. Lucia,LCA,24707.775390625,178015,75.496
2016,YR2016,St. Martin (French part),MAF,..,31949,79.6219512195122
2016,YR2016,St. Vincent and the Grenadines,VCT,24838.404296875,109643,73.179
2016,YR2016,Sudan,SDN,18334.25,39578828,64.486
2016,YR2016,Suriname,SUR,36163.484375,558368,71.405
2016,YR2016,Sweden,SWE,95090.5390625,9923085,82.2048780487805
2016,YR2016,Switzerland,CHE,101620.21875,8373338,82.8975609756098
2016,YR2016,Syrian Arab Republic,SYR,6387.90478515625,18430453,70.31
2016,YR2016,Tajikistan,TJK,8063.97802734375,8734951,71.051
2016,YR2016,Tanzania,TZA,5600.11083984375,55572201,65.675
2016,YR2016,Thailand,THA,27884.9921875,68863514,75.303
